,Autore,Stelle,Data,Titolo,Recensione,Lingua,Recensione_tradotta
79,Daniela P.,2,2023-09-29,mancano alcune funzionalità,"Che delusione! La descrizione del prodotto prevede la riproduzione di brani musicali, ma non è vero; quel che è peggio, la voce, nelle telefonate, in entrata e in uscita, è talmente fievole da non risultare comprensibile, né dal ricevente, né dal chiamante, impedendo, di conseguenza, la conversazione. Per sbloccare lo schermo devo cliccare sul pulsante esterno, perché, nonostante i miei contorsionismi con il polso, rimante nero! per questi motivi, ho richiesto il reso, che ho ottenuto, ma non mi fido di acquistarne un altro.",it,"Che delusione! La descrizione del prodotto prevede la riproduzione di brani musicali, ma non è vero; quel che è peggio, la voce, nelle telefonate, in entrata e in uscita, è talmente fievole da non risultare comprensibile, né dal ricevente, né dal chiamante, impedendo, di conseguenza, la conversazione. Per sbloccare lo schermo devo cliccare sul pulsante esterno, perché, nonostante i miei contorsionismi con il polso, rimante nero! per questi motivi, ho richiesto il reso, che ho ottenuto, ma non mi fido di acquistarne un altro."
80,Mino,2,2023-09-25,Quadranti,È arrivato in ritardo Amazon è un periodo che non funziona bene l'orologio è  bello però  diciamo che il cinturino da mettere sotto il polso non è  funzionale.Il meteo fa schifo nonstante sia collegato al bluetooth  etc. Visualizza vocalità  errate. Quindi non lo consiglio.,it,È arrivato in ritardo Amazon è un periodo che non funziona bene l'orologio è  bello però  diciamo che il cinturino da mettere sotto il polso non è  funzionale.Il meteo fa schifo nonstante sia collegato al bluetooth  etc. Visualizza vocalità  errate. Quindi non lo consiglio.
81,Alepasck,2,2023-09-20,Deluso,Esteticamente bello..ottimo il fatto che abbia gps e alexa ..gps non provato..il problema è che alexa si sente molto piano..e si 10 volte funziona solo 2..altoparlante vivavoce deludente.. ho provato altri orologi simili con audio molto più potente .non lo consiglierei farò il reso,it,Esteticamente bello..ottimo il fatto che abbia gps e alexa ..gps non provato..il problema è che alexa si sente molto piano..e si 10 volte funziona solo 2..altoparlante vivavoce deludente.. ho provato altri orologi simili con audio molto più potente .non lo consiglierei farò il reso
82,andrea,2,2023-11-11,non non funzione,sufficcile non funzione problemi oroglio,it,sufficcile non funzione problemi oroglio
83,Eleonora Dal Maso,2,2023-09-16,Troppo grande,È troppo grande e non rileva i valori cardiaci e di saturazione di ossigeno. È difficile comprenderne la funzionalità. Il caricabatterie è troppo corto 20cm. Il cinturino è fastidioso,it,È troppo grande e non rileva i valori cardiaci e di saturazione di ossigeno. È difficile comprenderne la funzionalità. Il caricabatterie è troppo corto 20cm. Il cinturino è fastidioso
84,isabel,2,2023-10-12,non veritiero,dati non veritieri,it,dati non veritieri
85,Cliente Amazon,2,2023-09-09,Garanzia,"Finito il termine per il rimborso...lo smartwatch non segna più i battiti, non viene più riconosciuto dal telefono...boh",it,"Finito il termine per il rimborso...lo smartwatch non segna più i battiti, non viene più riconosciuto dal telefono...boh"
86,Rosa 🌹 ,2,2023-09-15,Non mi dava l App di whatsapp,Non molto comodo,it,Non molto comodo
87,Eleonora S.,2,2023-04-25,Speravo meglio,"Vista la quantità di buone recensioni ho voluto fidarmi... ma tra il fatto che si disconnette di continuo, che non calcola correttamente le calorie e che portandolo per troppo tempo, mi si forma una infezione sul polso...direi che proprio non ci siamo. Peccato...ci ho sperato.",it,"Vista la quantità di buone recensioni ho voluto fidarmi... ma tra il fatto che si disconnette di continuo, che non calcola correttamente le calorie e che portandolo per troppo tempo, mi si forma una infezione sul polso...direi che proprio non ci siamo. Peccato...ci ho sperato."
88,Cliente Amazon,2,2023-09-08,Speravo meglio,"Un bel giocattolo come orologio carino, ma perde la connessione di continuo quindi niente notifiche e niente sveglia, calcolo km andata 2.5 ritorno 2, Maps 1.7 ... Pagato scontato poco più di 20€ ed è il suo valore più o meno",it,"Un bel giocattolo come orologio carino, ma perde la connessione di continuo quindi niente notifiche e niente sveglia, calcolo km andata 2.5 ritorno 2, Maps 1.7 ... Pagato scontato poco più di 20€ ed è il suo valore più o meno"
89,Anthony Izidoro Simoura,2,2023-11-13,Schermo graffiato,Il dispositivo funziona ma lo schermo mi è venuto graffiato,it,Il dispositivo funziona ma lo schermo mi è venuto graffiato
90,Léa C.,2,2023-11-08,Pas fiable,"Les prises des données de santés ne sont pas fiables. La montre m'indique une nuit sur deux que je ne porte par la montre et donc ne prend pas les données. Elle dit que je dors alors que je suis posée sur le canapé et ne relève pas mes réveils nocturnes sauf si je me lève pour aller au toilette. Je l'ai acheté pour analyser un peu mon sommeil et c'est un échec. De plus la synchronisation avec l'application beug souvent et il manque des paramètrages (ex : la montre demande de choisir via l'application mes contacts favoris or ce paramètrage est totalement inexistant sur cette application).Personnellement ayant des petits poignets, je trouve que l'écran est légèrement trop gros, et le bracelet n'est pas adaptable pour ma taille. Soit c'est trop serré, soit c'est trop grand. Mais bon, c'est un coup de malchance pour moi.Sinon, le design est joli, c'est dommage... la prise de données de santé est plus importante pour moi.Bref, je renvoie au bout d'une semaine de test.",fr,"La raccolta dei dati sanitari non è affidabile. L'orologio mi dice a notti alterne che non indosso l'orologio e quindi non prende i dati. Dice che dormo sul divano e non mi sveglio di notte a meno che non mi alzi per andare in bagno. L'ho comprato per analizzare un po' il mio sonno ed è stato un fallimento. Inoltre la sincronizzazione con l'applicazione spesso presenta dei problemi e mancano alcune impostazioni (es: l'orologio chiede di scegliere i miei contatti preferiti tramite l'applicazione, ma su questa applicazione questa impostazione è del tutto inesistente). Personalmente avendo i polsi piccoli, trovo che lo schermo è leggermente troppo grande e il braccialetto non è adattabile alla mia taglia. O è troppo stretto o è troppo grande. Ma ehi, per me è una sfortuna, per il resto il design è carino, è un peccato... per me è più importante prendere i dati sanitari, insomma li rispedisco dopo una settimana di test."
91,Ym,2,2023-10-31,Total waste of money,"Only had this watch for 4 months and it has stopped working. Tried everything and have come to the conclusion it was rubbish in the first place. I very rarely write a review but am so annoyed about this product, I feel others should think twice before they purchase it .",en,Ho avuto questo orologio solo per 4 mesi e ha smesso di funzionare. Ho provato di tutto e sono giunto alla conclusione che in primo luogo era spazzatura. Scrivo molto raramente una recensione ma sono così infastidito da questo prodotto che sento che gli altri dovrebbero pensarci due volte prima di acquistarlo.
92,Moo's Mum,2,2023-11-02,6 months old - won't charge,"Had trouble connecting to bluetooth occasionally, but I liked the watch.Doesn't upload workouts automatically to Strava, despite saying it does.After 6 months it just won't charge any more.",en,"Occasionalmente ho avuto problemi con la connessione al Bluetooth, ma l'orologio mi è piaciuto. Non carica automaticamente gli allenamenti su Strava, nonostante dica di sì. Dopo 6 mesi non si carica più."
93,Jonathan,2,2023-08-14,Randomly tries to record something I'm not doing,"Basically I like the things it does. Unfortunately it will randomly suddenly notify me that I'm recording an inside run (I never run, inside or outside) or I'll be walking the dog and it will unilaterally decide to record an indoor walk. I think it's because the screen is too sensitive and it reacts to the end of my sleeve. More infuriating it will stop recording exercise I have started recording. Makes it almost useless apart from monitoring heart rate etc.",en,"Fondamentalmente mi piacciono le cose che fa. Sfortunatamente mi avviserà in modo casuale e improvviso che sto registrando una corsa interna (non corro mai, né internamente né esternamente) o che sto portando a spasso il cane e deciderà unilateralmente di registrare una passeggiata interna. Penso che sia perché lo schermo è troppo sensibile e reagisce alla fine della mia manica. Ancora più esasperante sarà interrompere la registrazione dell'esercizio che ho iniziato a registrare. Lo rende quasi inutile a parte il monitoraggio della frequenza cardiaca, ecc."
94,Suder michel,2,2023-10-23,Traces de brûlures au contact avec la peau,Montre connectée très fonctionnelleJ ai par contre un gros soucis ...au niveau du contact avec la peau' j ai des traces de brûlures 'au niveau des capteursCe qui m oblige a la retirer au bout de quelques jours'Tres déçue,fr,"Orologio connesso molto funzionale invece ho un grosso problema...a livello di contatto con la pelle ho tracce di bruciature sui sensori, cosa che mi costringe a toglierlo dopo qualche giorno, molto deluso"
95,chaz,2,2023-09-19,Not showing data,At first the watch worked great but for the last 3 weeks it's not showing me data so not so happy now,en,"All'inizio l'orologio funzionava benissimo, ma nelle ultime 3 settimane non mi ha mostrato dati, quindi ora non sono così felice"
96,Jasmine,2,2023-11-16,Correa,"Necesito saber cómo cambiar y cuál es la correa de este reloj, necesito cambiarla porque se a roto y nose cual es",es,"Ho bisogno di sapere come si cambia e qual è il cinturino di questo orologio, devo cambiarlo perché è rotto e non so cosa sia"
97,Frank,2,2023-09-08,Reklamation,Leider muss ich die Uhr schon reklamieren 🤔Die erste Schwimmeinheit hat die Uhr nicht überstandenSie ist ausgegangen und nicht wieder anSchade !!!,de,"Purtroppo devo lamentarmi dell'orologio 🤔L'orologio non è sopravvissuto al primo bagno, si è spento e non si è più riacceso, è un peccato!!!"
98,Alvaro Llombay,2,2023-08-12,Los pasos a su aire.,"Te señala los pasos que le parece. Malo, al menos este artículo.",es,"Ti mostra i passaggi che ritiene opportuni. Pessimo, almeno questo articolo."
99,L. Weldon,2,2023-07-12,Pedometer isn't accurate.,"I loved it when I first got it. I've had it for a couple months now. I started noticing differences in the pedometer reading verses what my google fit read. Now it is no longer calculating the miles walked correctly. Example...I walked 2.04 miles this morning, but it calculated that I walked 3.46 miles.",en,"L'ho adorato quando l'ho preso per la prima volta. Ce l'ho ormai da un paio di mesi. Ho iniziato a notare differenze nella lettura del contapassi rispetto a ciò che leggeva il mio google fit. Ora non calcola più correttamente le miglia percorse. Esempio... stamattina ho camminato per 2,04 miglia, ma secondo i calcoli ho camminato per 3,46 miglia."
100,bonzou,2,2023-05-05,Tension artérielle ?,Dommage qu'on ne puisse pas prendre sa tension artérielle,fr,Peccato che non possiamo misurare la pressione sanguigna
101,Amazon Customer,2,2023-06-24,this watch needs work,"I like this watch, it feels good, it does the things i want it to do, but also does thing i dont want it to do. I disable all of the steps, sleep exercise, ect because it dont need them, but they are clearly working in the background and draining battery life.",en,"Mi piace questo orologio, è bello, fa le cose che voglio che faccia, ma fa anche cose che non voglio che faccia. Disattivo tutti i passaggi, gli esercizi di sonno, ecc. perché non ne hanno bisogno, ma funzionano chiaramente in background e riducono la durata della batteria."
102,Amazon Kunde,2,2023-03-19,Irreführende Produktbeschreibung,Macht optisch und haptisch einen guten Eindruck. Allerdings lassen sich die Sportmodi - entgegen der Produktbeschreibung - nicht ändern. Support hat nicht reagiert. Für mich daher unbrauchbar und ging zurück.,de,"Fa una buona impressione visivamente e tattilmente. Tuttavia, contrariamente alla descrizione del prodotto, le modalità sportive non possono essere modificate. Il supporto non ha risposto. Pertanto per me era inutilizzabile e mi è stato restituito."
103,Angela,2,2023-07-09,Not what I expected.,It’s not very user friendly. It does not allow you to answer your phone like it made me to believe in the ad.,en,Non è molto facile da usare. Non ti consente di rispondere al telefono come mi ha fatto credere nell'annuncio.
104,LaVonda Dulaney,2,2023-06-28,Died under 6 months,It wasn't easy to set up and once the time changed while trying to update it - it didn't change time on its own - it totally died and wouldn't restart! About 4 months old.,en,Non è stato facile da configurare e una volta cambiata l'ora durante il tentativo di aggiornarlo (non ha cambiato l'ora da sola) è morto completamente e non si riavviava! Circa 4 mesi.
105,Gomez M.,2,2022-10-08,difficile a comprendre,la montre en soi n'est pas trop mal hélas pas de mode d'emploimais le plus compliqué c'est le jumelage avec veryfit aucune donnée identique de plus il ne cesse d'envoyer des infos sur le smartphonne ce qui devient usant !!!je risque de la renvoyer,fr,l'orologio in sé non è male purtroppo non ci sono istruzioni per l'uso ma la cosa più complicata è l'abbinamento con veryfit dati non identici in più continua a mandare informazioni allo smartphone il che diventa stancante!!! Potrei rispedirlo indietro
106,User858393726,2,2023-07-01,Not what I expected,You pretty much can’t do anything on this except read time and see you heart rate,en,Praticamente non puoi fare nulla al riguardo tranne il tempo di lettura e vedere la frequenza cardiaca
107,Zanotto s.,2,2023-08-31,Difficultés,"Je n'arrive pas à la faire fonctionner, je n'y comprends rien .Pas moyen de mettre mes contacts téléphoniques, enfin bref je vais essayer de trouver quelqu'un qui saurait m'aider",fr,"Non riesco a farlo funzionare, non ci capisco niente, non c'è modo di mettere i miei contatti telefonici, comunque cercherò qualcuno che possa aiutarmi"
108,François-Marie,2,2023-09-01,Peu de possibilités,Impossible d'afficher l'heure en permanence : il faut chaque fois pousser sur le bouton.Impossible de connecter la montre avec des applis comme Strava.,fr,Impossibile visualizzare l'ora in modo permanente: è necessario premere il pulsante ogni volta. Impossibile connettere l'orologio con app come Strava.
109,lukas banasik,2,2023-03-26,Bin mit Menü nicht klar gekommen,Nichts für mich,de,Niente per me
110,Kindle Customer,2,2023-07-01,Hard to set up,Hard to setup,en,Difficile da configurare
111,Marc P,2,2023-09-02,Bracelet,Allergie au bracelet d origine,fr,Allergia al braccialetto originale
112,kdm,2,2023-04-01,Time and date works the rest is intermittent,"Won't stay connected, notification and messages stopped working on day two. If you and the weather it only updates once then it's useless.",en,"Non rimarrò connesso, le notifiche e i messaggi hanno smesso di funzionare il secondo giorno. Se tu e il meteo si aggiornano solo una volta, è inutile."
113,Amazon Customer,2,2023-02-01,Doesn't give miles. Only steps..,"Looking for miles per day and week, only tells your steps ??",en,"Cerchi miglia al giorno e alla settimana, indica solo i tuoi passi ??"
114,Berneda Ester,2,2023-08-03,Very hard to work,It’s really hard to work phone doesn’t work either,en,"È davvero difficile lavorare, anche il telefono non funziona"
115, Katia,3,2023-11-05,Bene ma non benissimo,"L’ho acquistato il 16 settembre, ricevuto il 18, e indossato fino ad oggi. Inizialmente ero molto soddisfatta, anche se c’è sempre stata discordanza sul contapassi del telefono, spesso il telefono segnalava più passi dell’orologio soprattutto in escursioni. Ho avuto pochi problemi di connessione per quanto i dati attività bisogna caricarli manualmente. Impossibile da usare in chiamata perché non si sente niente, oltretutto per quanto uso il telefono anche se disabilitato l’audio, interferisce sulla chiamata e più di una volta ho dovuto togliere l’orologio dal polso. Ogni tanto perde le impostazioni e non rileva più i battiti. Durata batteria con 2 allenamenti di circa 2 ore e con buona parte delle funzioni disabilitate, circa 4 giorni. Insomma…",it,"L’ho acquistato il 16 settembre, ricevuto il 18, e indossato fino ad oggi. Inizialmente ero molto soddisfatta, anche se c’è sempre stata discordanza sul contapassi del telefono, spesso il telefono segnalava più passi dell’orologio soprattutto in escursioni. Ho avuto pochi problemi di connessione per quanto i dati attività bisogna caricarli manualmente. Impossibile da usare in chiamata perché non si sente niente, oltretutto per quanto uso il telefono anche se disabilitato l’audio, interferisce sulla chiamata e più di una volta ho dovuto togliere l’orologio dal polso. Ogni tanto perde le impostazioni e non rileva più i battiti. Durata batteria con 2 allenamenti di circa 2 ore e con buona parte delle funzioni disabilitate, circa 4 giorni. Insomma…"
116,COLOMBO MARCELLO,3,2023-10-09,Smartwatch carino utile ma non mostra la data all'italiana,"Carino leggero fa quello che deve fare con un prezzo veramente basso, rispetto ai blasonati e costosi smartwatch marchiati, utilissime le notifiche delle varie app di chat comprese le mail sia di GMail che di Outlook. Provato anche come vivavoce! Allarmi avvisi di chiamate ottimo.Non sono molto convinto sul contapassi ma non ci faccio affidamento, è dichiarato IP68 waterproof 5 atmosfere ma non credo che lo proverò in doccia o al mare.Unica cosa che proprio non mi piace è il formato data in Inglese/Usa, strano la lingua si può impostare come anche il formato orario ma il formato della data no!",it,"Carino leggero fa quello che deve fare con un prezzo veramente basso, rispetto ai blasonati e costosi smartwatch marchiati, utilissime le notifiche delle varie app di chat comprese le mail sia di GMail che di Outlook. Provato anche come vivavoce! Allarmi avvisi di chiamate ottimo.Non sono molto convinto sul contapassi ma non ci faccio affidamento, è dichiarato IP68 waterproof 5 atmosfere ma non credo che lo proverò in doccia o al mare.Unica cosa che proprio non mi piace è il formato data in Inglese/Usa, strano la lingua si può impostare come anche il formato orario ma il formato della data no!"
117,Azienda M.,3,2023-09-28,"Suoneria e conversazione e vibrazione, si sentono poco. Per il resto è bello e sarebbe utile.","Il problema è che nei luoghi un pò affollati non si sente la suoneria Plin Plin e il volume di chi ti chiama è basso, sul posto di lavoro non parliamone perché c'è rumore, se mi suona il telefono e quindi so che mi stanno chiamando, dato che l'orologio vibra poco, non sento chi mi sta parlando, occorre essere abbastanza nel silenzio. E' un vero peccato perché per il resto sarebbe molto comodo non estrarre il telefono quando ho le mani sporche o utilizzare l'orologio anche in auto...Non ho provato altri orologi ma saranno un pò tutti così...",it,"Il problema è che nei luoghi un pò affollati non si sente la suoneria Plin Plin e il volume di chi ti chiama è basso, sul posto di lavoro non parliamone perché c'è rumore, se mi suona il telefono e quindi so che mi stanno chiamando, dato che l'orologio vibra poco, non sento chi mi sta parlando, occorre essere abbastanza nel silenzio. E' un vero peccato perché per il resto sarebbe molto comodo non estrarre il telefono quando ho le mani sporche o utilizzare l'orologio anche in auto...Non ho provato altri orologi ma saranno un pò tutti così..."
118,Antonella,3,2023-09-11,Non conforme alla descrizione,"Tutto sommato è un buon orologio , ma purtroppo non e molto preciso e non ci sono tutti i social come da descrizione ... peccato per la mancanza dell' app telegram la quale io uso molto per lavoro ... in più capita che durante il giorno si disconette dal telefono ...non so se lo consiglierei",it,"Tutto sommato è un buon orologio , ma purtroppo non e molto preciso e non ci sono tutti i social come da descrizione ... peccato per la mancanza dell' app telegram la quale io uso molto per lavoro ... in più capita che durante il giorno si disconette dal telefono ...non so se lo consiglierei"
119,Marta P.,3,2023-08-25,Smartwatch Rosa,"Prodotto ben fatto, ma secondo me potevano introdurre qualche piccolezze per migliorarlo.Puoi memorizzare solo fino a 10 contatti, e tra l’altro nell’iPhone li legge come sconosciuti, quindi se stai facendo qualcosa e non hai lo smartphone tra le mani, non saprai mai chi ti sta chiamando…Le emoji su whatsapp non è in grado di riconoscerle. Il messaggio appare come vuoto tra le notifiche.",it,"Prodotto ben fatto, ma secondo me potevano introdurre qualche piccolezze per migliorarlo.Puoi memorizzare solo fino a 10 contatti, e tra l’altro nell’iPhone li legge come sconosciuti, quindi se stai facendo qualcosa e non hai lo smartphone tra le mani, non saprai mai chi ti sta chiamando…Le emoji su whatsapp non è in grado di riconoscerle. Il messaggio appare come vuoto tra le notifiche."
120,Cliente Amazon,3,2023-10-23,ALEXA NON FUNZIONA,ALEXA non funzionante. Non ascolta proprio i comandi. Per il resto la base è ok.,it,ALEXA non funzionante. Non ascolta proprio i comandi. Per il resto la base è ok.
121,laura pozzoni,3,2023-10-22,Soddisfatto,Funziona perfettamente!,it,Funziona perfettamente!
122,altodomo,3,2023-10-12,ILettura parametri elettrofisiologici completamente inesatti e superficiali. Scarsa affidabilità!!,Leggerezza del dispositivo positivo. Negatività precedentemente espresse.,en,Leggerezza del dispositivo positivo. Negatività precedentemente espresse.
123,caterina maso,3,2023-10-20,Caterina,Molto comoda la risposta delle chiamate dall’orologio e con un ottimo audio. Molto scomodo il cinturino.,it,Molto comoda la risposta delle chiamate dall’orologio e con un ottimo audio. Molto scomodo il cinturino.
124,Francesca,3,2023-09-16,Perché non va Alexa e non ricevere le notifiche delle email?,Perché non va Alexa e non ricevere le notifiche delle email? È un problema del mio smartwatch? Praticamente Alexa risponde solo a che tempo fa,it,Perché non va Alexa e non ricevere le notifiche delle email? È un problema del mio smartwatch? Praticamente Alexa risponde solo a che tempo fa
125,Bruco632003,3,2023-07-22,R,"Credevo un prodotto migliore, tutto sommato accettabile si diconnette spesso dall'applicazione, le chiamate sono in vivavoce non è possibile usare un auricolare per la privacy e il cinturino distrugge il polso con la sudorazione. L'app fa letteralmente schifo si disconnette continuamente e devo riavviare 6/7volte al giorno per sincronizzarlo e ricollegare all'app.",it,"Credevo un prodotto migliore, tutto sommato accettabile si diconnette spesso dall'applicazione, le chiamate sono in vivavoce non è possibile usare un auricolare per la privacy e il cinturino distrugge il polso con la sudorazione. L'app fa letteralmente schifo si disconnette continuamente e devo riavviare 6/7volte al giorno per sincronizzarlo e ricollegare all'app."
126,vito,3,2023-08-31,Perde spesso la connessione,"Orologio bello da portare, ma molto spesso perde la connessione",it,"Orologio bello da portare, ma molto spesso perde la connessione"
127,conny,3,2023-06-10,Fa tutto come descritto tranne le chiamate,L'orologio è molto bello e funzionale mi piace tutto ma non posso fare le chiamate con alexa...peccato...il motivo principale di questo acquisto è stato proprio perché avevo letto che si potevano fare le chiamate...,it,L'orologio è molto bello e funzionale mi piace tutto ma non posso fare le chiamate con alexa...peccato...il motivo principale di questo acquisto è stato proprio perché avevo letto che si potevano fare le chiamate...
128,luca franceschini,3,2023-04-19,Le chiamate in entrata non si sentono,Bello come orologio ma le chiamate in entrata non si sentono non so se restituirlo preso una settimana fa,it,Bello come orologio ma le chiamate in entrata non si sentono non so se restituirlo preso una settimana fa
129,paolo,3,2022-09-19,"Si, ma il Bluetooth... e la batteria...!?","Orologio bello da vedere, buoni materiali ma con grandi limiti. Premesso che ho un Samsung Galaxy  S9 plus e non ho MAI avuto problemi di accoppiamento/tenuta Bluetooth con nessuna periferica collegata, con questo prodotto ho serie difficoltà a mantenere il collegamento. Altro grosso problema è la batteria. Disabilitando le misurazioni della FC e il rilevamento del rumore (?), la durata della batteria si riduce a 1 giorno. Troppo, troppo poco per lo standard degli attuali smartwatch in commercio, anche per quelli di più bassa caratura. Se lo consiglierei? Si per quanto concerne la risposta tramite smartwatch o la presenza di Alexa, no per chi vuole una prodotto con durata di batteria ""decente""",it,"Orologio bello da vedere, buoni materiali ma con grandi limiti. Premesso che ho un Samsung Galaxy  S9 plus e non ho MAI avuto problemi di accoppiamento/tenuta Bluetooth con nessuna periferica collegata, con questo prodotto ho serie difficoltà a mantenere il collegamento. Altro grosso problema è la batteria. Disabilitando le misurazioni della FC e il rilevamento del rumore (?), la durata della batteria si riduce a 1 giorno. Troppo, troppo poco per lo standard degli attuali smartwatch in commercio, anche per quelli di più bassa caratura. Se lo consiglierei? Si per quanto concerne la risposta tramite smartwatch o la presenza di Alexa, no per chi vuole una prodotto con durata di batteria ""decente"""
130,federico,3,2023-01-28,Semplice ma si disconnette,Semplice intuitivo funzione risposta alle chiamate buona ma fatto reso dell'articolo perché si disconnette dal telefono molte volte al giorno e non sei sempre costretto a controllare il telefono se hai ricevuto degli avvisi quindi non affidabilePeccato perché l'articolo è bello e semplice,it,Semplice intuitivo funzione risposta alle chiamate buona ma fatto reso dell'articolo perché si disconnette dal telefono molte volte al giorno e non sei sempre costretto a controllare il telefono se hai ricevuto degli avvisi quindi non affidabilePeccato perché l'articolo è bello e semplice
131,Santo F.,3,2023-03-19,"Buon prodotto , peccato che perde spesso la connessione Bluetooth",,,
132,Bembo,3,2022-10-11,Vale ciò che lo paghi,"Speravo fosse qualcosa di meglio sinceramente  connessione lenta e volevo la rubrica a portata di polso..ma niente , puoi solo aggiungere i numeri più chiamati..per il resto fa le cose che servono e dura molto la batteria.. diciamo che se non hai esigenze particolari è un buon prodotto..",it,"Speravo fosse qualcosa di meglio sinceramente  connessione lenta e volevo la rubrica a portata di polso..ma niente , puoi solo aggiungere i numeri più chiamati..per il resto fa le cose che servono e dura molto la batteria.. diciamo che se non hai esigenze particolari è un buon prodotto.."
133,David,3,2022-12-04,Per il momento  funziona bene,Qualche problemino con l app ma abbastanza  buono per il momento,it,Qualche problemino con l app ma abbastanza  buono per il momento
134,Giuseppe,3,2022-09-10,Il prezzo,Allora il prezzo mi sembra un po eccessivo come aspettative pensavo che facesse più cose Ma ci possiamo accontentare,it,Allora il prezzo mi sembra un po eccessivo come aspettative pensavo che facesse più cose Ma ci possiamo accontentare
135,Adam ali,3,2023-10-29,"3,0 su 5 stelle","Esteticamente è ben fatto, leggero e sottile, il che lo rende comodo da indossare. La qualità dei materiali sembra buona e l'orologio risulta veloce e reattivo.L'applicazione che accompagna l'orologio, anche nella sua versione base, è piuttosto completa. Tuttavia, ho riscontrato alcuni problemi con l'eliminazione dei registri degli allenamenti. Nonostante l'orologio accetti il comando, i registri effettivamente non vengono eliminati. Spero che questo bug venga risolto in una futura versione dell'app.L'unica cosa fastidiosa che ho riscontrato finora è durante gli allenamenti in piscina. Durante la virata a fondo vasca, bisogna fare molta energia o fermarsi almeno cinque secondi prima di ripartire, altrimenti l'orologio segna solo 25 metri o un solo giro anziché 50 metri o due giri. Spero che questo problema venga risolto con un aggiornamento del software.La rilevazione del sonno sembra essere accurata, così come il monitoraggio del battito cardiaco. Non posso fare un confronto per quanto riguarda l'ossigenazione del sangue, ma i valori sembrano oscillare in modo sensato in base alla situazione.Le chiamate e le notifiche funzionano sorprendentemente bene sull'orologio. Tuttavia, non posso dire lo stesso per i comandi inviati ad Alexa, che nella maggior parte dei casi non risultano affidabili.Un punto positivo è il cinturino, che ritengo uno dei migliori in commercio. Il bloccaggio interno e avvolgente sul polso del lato della cassa lo rende super stabile. Inoltre, la misura dello sgancio rapido risulta di 19mm, il che rende la sostituzione del cinturino facile e veloce.La batteria ha una buona durata, che mi permette di utilizzare l'orologio per tutta la settimana. Un consiglio che posso darvi è quello di caricare l'orologio preferibilmente mentre fate la doccia, dato che non ha la carica intelligente e viene utilizzato durante la notte per monitorare il sonno. Inoltre, è buona norma mantenere la carica tra il 20% e l'80% per preservare la vita della batteria. Inoltre, evitate di metterlo a contatto con saponi o altri prodotti diversi dall'acqua dolce, in quanto possono ostruire i fori del vivavoce, del microfono e dello scarico dell'acqua.In attesa di un miglioramento dell'app per quanto riguarda i registri degli allenamenti, non posso che dare una valutazione positiva a questo orologio.",it,"Esteticamente è ben fatto, leggero e sottile, il che lo rende comodo da indossare. La qualità dei materiali sembra buona e l'orologio risulta veloce e reattivo.L'applicazione che accompagna l'orologio, anche nella sua versione base, è piuttosto completa. Tuttavia, ho riscontrato alcuni problemi con l'eliminazione dei registri degli allenamenti. Nonostante l'orologio accetti il comando, i registri effettivamente non vengono eliminati. Spero che questo bug venga risolto in una futura versione dell'app.L'unica cosa fastidiosa che ho riscontrato finora è durante gli allenamenti in piscina. Durante la virata a fondo vasca, bisogna fare molta energia o fermarsi almeno cinque secondi prima di ripartire, altrimenti l'orologio segna solo 25 metri o un solo giro anziché 50 metri o due giri. Spero che questo problema venga risolto con un aggiornamento del software.La rilevazione del sonno sembra essere accurata, così come il monitoraggio del battito cardiaco. Non posso fare un confronto per quanto riguarda l'ossigenazione del sangue, ma i valori sembrano oscillare in modo sensato in base alla situazione.Le chiamate e le notifiche funzionano sorprendentemente bene sull'orologio. Tuttavia, non posso dire lo stesso per i comandi inviati ad Alexa, che nella maggior parte dei casi non risultano affidabili.Un punto positivo è il cinturino, che ritengo uno dei migliori in commercio. Il bloccaggio interno e avvolgente sul polso del lato della cassa lo rende super stabile. Inoltre, la misura dello sgancio rapido risulta di 19mm, il che rende la sostituzione del cinturino facile e veloce.La batteria ha una buona durata, che mi permette di utilizzare l'orologio per tutta la settimana. Un consiglio che posso darvi è quello di caricare l'orologio preferibilmente mentre fate la doccia, dato che non ha la carica intelligente e viene utilizzato durante la notte per monitorare il sonno. Inoltre, è buona norma mantenere la carica tra il 20% e l'80% per preservare la vita della batteria. Inoltre, evitate di metterlo a contatto con saponi o altri prodotti diversi dall'acqua dolce, in quanto possono ostruire i fori del vivavoce, del microfono e dello scarico dell'acqua.In attesa di un miglioramento dell'app per quanto riguarda i registri degli allenamenti, non posso che dare una valutazione positiva a questo orologio."
136,Tam,3,2023-10-23,Il collegamento con Alex non funziona,Valido come orologio e buone le funzioni ma non sempre è collegato e bisogna spesso ricollegarsi al telefono.Alexa non risponde dal dispositivo e spesso risulta da ricollegare all'orologio sarò riuscita ad usarla 4 volte,it,Valido come orologio e buone le funzioni ma non sempre è collegato e bisogna spesso ricollegarsi al telefono.Alexa non risponde dal dispositivo e spesso risulta da ricollegare all'orologio sarò riuscita ad usarla 4 volte
137,Raffaele,3,2023-10-11,connettività,lo uso da circa due mesi bello e pratico. Ultimamente si scollega molto frequentemente.,it,lo uso da circa due mesi bello e pratico. Ultimamente si scollega molto frequentemente.
